Número Processo -  Formatado;URL Portal Transparência;Data Criação Processo;Objeto Processo;URL Documentos Processo;Código Órgão/Entidade Pedido;Nome Órgão/Entidade Pedido;Situação Processo;Procedimento Contratação - Detalhamento 1;Número Contrato;Contrato_TermoAditivo Arquivos;Código Órgão/Entidade Contratante;Nome Órgão/Entidade Contratante;Data Publicação Contrato;Data Início Vigência Contrato;Data Limite Vigência Contrato;Data Término Vigência Contrato;CNPJ/CPF Fornecedor - Formatado;Nome Empresarial/Nome Fornecedor;Processo SEI;URL Processo SEI;Código Item Material/Serviço - Numérico;Item Material/Serviço;Código Unidade Orçamentária;Nome Unidade Orçamentária;Descrição Linha Fornecimento;Cidade Entrega Item;Quantidade Homologada;Valor Unitário Referência Item Processo;Valor Unitário Homologado Item Processo;Valor Total Referência Item Processo;Valor Total Homologado
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;1396595;"TERMINAL PARA CABO ELETRICO - TIPO: PINO TUBULAR, PRE-ISOLADO; BITOLA: 4MM2;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS;Belo Horizonte                          ;30;0,33;0,33;9,9;9,9
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;1532073;"TERMINAL PARA CABO ELETRICO - TIPO: TUBULAR PRE-ISOLADO; BITOLA: 2,5MM;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS;Belo Horizonte                          ;30;0,36;0,36;10,8;10,8
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;1555782;"CONCRETO - COMPOSICAO: BRITA 01 OU 02: SLUMP (10+/-2); APLICACAO: PISO SARRAFEADO;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;MATERIAIS PARA CONSTRUCAO;Belo Horizonte                          ;3;450;450;1.350,00;1.350,00
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;1593250;"PROTETOR CONTRA SURTO (DPS) - CORRENTE MAXIMA DE SURTO: 40KA; TENSAO OPERACAO: 175V; TENSAO DE REDE: 220V/127V; GRAU PROTECAO: IP20; FIXACAO: TRILHOS DIN DE 35MM;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS;Belo Horizonte                          ;2;55;55;110;110
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;1603329;"REGISTRO DE ESFERA - MATERIA-PRIMA: PVC; TIPO: SOLDAVEL; MEDIDA: 20 MM;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VALVULAS, REGISTROS E COMPONENTES;Belo Horizonte                          ;1;8,8;8,8;8,8;8,8
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;1689274;"LAMPADA LED - TIPO: BULBO DIFUSOR LEITOSO; POTENCIA: 12 W; TEMPERATURA DE COR: 6500 K; FLUXO LUMINOSO MIN: 1100 LM; DIMERIZAVEL: NAO; TENSAO: 100-240 VAC; FREQUENCIA: 60 HZ; FATOR DE POTENCIA: MAIOR OU IGUAL A 0,7; ANGULO ABERTURA: MINIMO 150 GRAUS; IRC: 80%; VIDA UTIL MINIMA: 25.000 H; BASE: E27; NORMA APLICAVEL: ETIQUETA ENCE INFORMATIVA;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS, APARELHOS E ARTIGOS DE ILUMINACAO;Belo Horizonte                          ;4;9;9;36;36
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;1734989;"PLAFONIER - MATERIA-PRIMA: PVC; NUMERO DE LAMPADAS: 1 LAMPADA; BASE: E27; MATERIA-PRIMA DA BASE: PORCELANA; FORMATO: REDONDO; COR: CONFORME SOLICITADO PELO ORGAO/ENTIDADE;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS, APARELHOS E ARTIGOS DE ILUMINACAO;Belo Horizonte                          ;3;4,7;4,7;14,1;14,1
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;1754416;"CHAPA DE ACO, GROSSA - TIPO: LAMINADA A FRIO; MEDIDA: 3M LARGURA X 3M COMPRIMENTO X  3/4 ESPESSURA;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;MATERIAIS PARA CONSTRUCAO;Belo Horizonte                          ;2;8.300,00;8.300,00;16.600,00;16.600,00
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;1754831;"BARRAMENTO PARA CONDUCAO ELETRICA - MATERIA-PRIMA: COBRE; DENSIDADE: 28 AMPERES / 4 MM2; DIMENSOES: 1 METRO; BARRAMENTO MONOFASICO TIPO PENTE; FINALIDADE: MONTAGEM DE QDC DISJUNTOR DIN;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS;Belo Horizonte                          ;1;18,1;18,1;18,1;18,1
0250073 000004/2020;NA;15/04/2020;Materiais destinados para adequações no Hospital de Campanha no Expominas BH.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9246002;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162700;1250;POLICIA MILITAR DE MINAS GERAIS;28/04/2020;28/04/2020;;28/07/2020;00.242.692/0001-84;FERRAGENS FAVORITA LTDA -EPP;NA;NA;1754840;"BARRAMENTO PARA CONDUCAO ELETRICA - MATERIA-PRIMA: COBRE; DENSIDADE: 28 AMPERES / 4MM2; DIMENSOES: 1 METRO; BARRAMENTO BIFASICO TIPO PENTE; FINALIDADE: MONTAGEM DE QDC DISJUNTOR DIN;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ARTIGOS  E COMPONENTES ELETRICOS  E ELETRONICOS, ANTENAS, BATERIAS, PILHAS E ACUMULADORES ELETRICOS;Belo Horizonte                          ;1;41,3;41,3;41,3;41,3
0250073 000005/2020;NA;15/04/2020;Contratação de empresa especializada para a instalação de piso nas enfermarias do Hospital de Campanha.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.932.175/0001-62;RBARROS EQUIPAMENTOS PROMOCIONAIS EIRELI;NA;NA;1155;ADAPTACOES E REFORMAS;1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;OBRAS E SERVICOS DE ENGENHARIA CIVIL;Belo Horizonte                          ;0;155.057,31;155.057,31;155.057,31;155.057,31
0250073 000009/2020;NA;21/04/2020;Fornecimento de tiras de glicemia incluindo o comodato de 150 glicosímetros. SEI!MG 1251.01.0002288/2020-60.;NA;1250;POLICIA MILITAR DE MINAS GERAIS;Concluído;Dispensa de Licitação;9247068;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162853;1250;POLICIA MILITAR DE MINAS GERAIS;09/05/2020;09/05/2020;31/12/2020;09/08/2020;52.202.744/0001-92;Nacional Comercial Hospitalar S.A;NA;NA;415812;"TIRAS REAGENTES - TIPO: REAGENTES; FINALIDADE: PESQUISA DE GLICEMIA;";1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS E ARTIGOS DE LABORATORIO, COMPONENTES E ACESSORIOS;Belo Horizonte                          ;264.850,00;0,57;0,38;150.964,50;100.643,00
0500005 000009/2020;NA;13/02/2020;Sistema de exaustão e filtragem do ar para o Hospital Eduardo de Menezes;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;09.610.464/0001-94;CONTROLAR INDUSTRIA E COMERCIO DE FILTROS E EQUIPAMENTOS EIRELI;NA;NA;1746723;"UNIDADE DE VENTILACAO ESTERIL - MATERIA-PRIMA: CHAPA DE ACO CARBONO, TRATAMENTO ANTICORROSIVO ; FILTRO: HEPA,  EFICIENCIA 99,995%, CLASSE H14; MOTO-VENTILADOR: 220 V, 1F, 60 HZ, EQUIPADO COM PROTECAO TERMICA;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS;MINAS GERAIS;8;6.890,00;6.890,00;55.120,00;55.120,00
0500005 000054/2020;NA;28/05/2020;Medicamento Norepinefrina 2 mg/ml, ampola 4 ml.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;18.269.125/0001-87;BIOHOSP PRODUTOS HOSPITALARES SA;NA;NA;1487353;"NOREPINEFRINA - PRINCIPIO ATIVO: NOREPINEFRINA, HEMITARTARATO; CONCENTRACAO/DOSAGEM: 2 MG/ML; FORMA FARMACEUTICA: SOLUCAO INJETAVEL; APRESENTACAO: AMPOLA 4 ML; COMPONENTE: .;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;MEDICAMENTOS ALOPATICOS;MINAS GERAIS;33.000,00;8;8;264.000,00;264.000,00
0500005 000066/2020;NA;22/06/2020;Aquisição de Papel Toalha, relativo a Curva A.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;09.400.443/0001-44;OFICIAL PAPER INDUSTRIA E COMERCIO EIRELI - EPP;NA;NA;1686372;"PAPEL TOALHA - FOLHA: SIMPLES; COMPOSICAO: 100% CELULOSE VIRGEM, BRANCA; TIPO: INTERFOLHADO, 2 DOBRAS; DIMENSOES (L X C ): 23 CM X 23 CM; ACABAMENTO: LISO; APRESENTACAO: EMBALAGEM 1.250 FOLHAS;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;ARTIGOS, UTENSILIOS PARA HIGIENE PESSOAL;MINAS GERAIS;24.000,00;10;10;240.000,00;240.000,00
0505022 000022/2020;NA;08/05/2020;PLACA DE ACRÍLICO.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação - Por valor;0;;;;;;;;71.402.192/0001-00;DEPOSITO E ELETRICA INCONFIDENTES LTDA - ME;NA;NA;1758136;"CHAPA DE ACRILICO - MATERIA PRIMA: POLIMEROS; DIMENSAO: 100 CM X 150 CM, ESPESSURA 2 MM; SUPERFICIE: LISA; COR:  TRANSPARENTE ; APLICACAO: LOCAIS ATENDIMENTO AO PUBLICO;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;MATERIAIS PARA CONSTRUCAO;Belo Horizonte                          ;6;259,415;200;1.556,49;1.200,00
0505022 000024/2020;NA;15/05/2020;PLACAS DE ACRÍLICO;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação - Por valor;0;;;;;;;;41.658.519/0001-49;CENTRAL SUPRIMENTOS LTDA -ME;NA;NA;1759833;"CHAPA DE ACRILICO - MATERIA PRIMA: ACRILICO; DIMENSAO: 196 CM X 79 CM,  ESPESSURA 5MM; SUPERFICIE: LISA; COR:  TRANSPARENTE, CRISTAL, INCOLOR; APLICACAO:  PROTECAO DE LOCAIS DE ATENDIMENTOS AO PUBLICO;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;MATERIAIS PARA CONSTRUCAO;Belo Horizonte                          ;1;605;796;605;796
0505022 000024/2020;NA;15/05/2020;PLACAS DE ACRÍLICO;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação - Por valor;0;;;;;;;;41.658.519/0001-49;CENTRAL SUPRIMENTOS LTDA -ME;NA;NA;1759841;"CHAPA DE ACRILICO - MATERIA PRIMA: ACRILICO; DIMENSAO: 218 CM X 89 CM,  ESPESSURA 5MM; SUPERFICIE: LISA; COR:  TRANSPARENTE, CRISTAL, INCOLOR; APLICACAO:  PROTECAO DE LOCAIS DE ATENDIMENTOS AO PUBLICO;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;MATERIAIS PARA CONSTRUCAO;Belo Horizonte                          ;1;880;839,7;880;839,7
0510037 000125/2020;NA;26/03/2020;MANUTENÇÃO CORRETIVA EM VENTILADORES PULMONARES DA MARCA DIXTAL.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.873.047/0001-95;VITAE TECNOLOGIA EM MEDICINA LTDA - EPP;NA;NA;10758;MANUTENCAO, REPARO, CONSERVACAO E ADAPTACAO EM EQUIPAMENTOS E INSTRUMENTOS HOSPITALARES;2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;MANUTENCAO EM EQUIPAMENTO MEDICO, HOSPITALAR, ODONTOLOGICO E DE       LABORATORIO;MINAS GERAIS;0;13.110,00;13.110,00;13.110,00;13.110,00
0510037 000125/2020;NA;26/03/2020;MANUTENÇÃO CORRETIVA EM VENTILADORES PULMONARES DA MARCA DIXTAL.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.873.047/0001-95;VITAE TECNOLOGIA EM MEDICINA LTDA - EPP;NA;NA;340669;"DISPLAY PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: DISPLAY LED C/ KIT FIXACAO P/ TECLADO NOVO  GRAPH; EQUIPAMENTO: VENTILADOR; MARCA/MODELO: DIXTAL/DX-3010; REFERENCIA: DR-0004U-2 / 4329R2V;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS;MINAS GERAIS;1;8.929,80;8.929,80;8.929,80;8.929,80
0510037 000125/2020;NA;26/03/2020;MANUTENÇÃO CORRETIVA EM VENTILADORES PULMONARES DA MARCA DIXTAL.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.873.047/0001-95;VITAE TECNOLOGIA EM MEDICINA LTDA - EPP;NA;NA;424170;"BATERIA PARA EQUIPAMENTO MEDICO/HOSPITALAR - TENSAO: 11.1 VOLTS; CORRENTE: 7.8 AH; REFERENCIA: DR-2003A-0 / 4152R1V; EQUIPAMENTO: VENTILADOR DIXTAL/DX-3012;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS;MINAS GERAIS;10;1.500,60;1.500,60;15.006,00;15.006,00
0510037 000125/2020;NA;26/03/2020;MANUTENÇÃO CORRETIVA EM VENTILADORES PULMONARES DA MARCA DIXTAL.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.873.047/0001-95;VITAE TECNOLOGIA EM MEDICINA LTDA - EPP;NA;NA;1139886;"KIT PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: KIT PNEUMOTACOGRAFO (TS/ADV.); EQUIPAMENTO: VENTILADOR; MARCA/MODELO: DIXTAL/DX-3012-3020; REFERENCIA: 3696R1V;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS;MINAS GERAIS;3;1.631,80;1.631,80;4.895,40;4.895,40
0510037 000125/2020;NA;26/03/2020;MANUTENÇÃO CORRETIVA EM VENTILADORES PULMONARES DA MARCA DIXTAL.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.873.047/0001-95;VITAE TECNOLOGIA EM MEDICINA LTDA - EPP;NA;NA;1145800;"KIT PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: KIT REG. DE AR - 2.8KG/CM2 + VALV. PROPORCIONAL; EQUIPAMENTO: VENTILADOR; MARCA/MODELO: DIXTAL/DX-3012; REFERENCIA: DR-2001C-0 / 3714R1V;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS;MINAS GERAIS;4;4.198,40;4.198,40;16.793,60;16.793,60
0510037 000125/2020;NA;26/03/2020;MANUTENÇÃO CORRETIVA EM VENTILADORES PULMONARES DA MARCA DIXTAL.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.873.047/0001-95;VITAE TECNOLOGIA EM MEDICINA LTDA - EPP;NA;NA;1145860;"KIT PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: KIT REG. DE O2 - 2.8KG/CM2 + VALV. PROPORCIONAL; EQUIPAMENTO: VENTILADOR; MARCA/MODELO: DIXTAL/DX-3012; REFERENCIA: DR-2001D-0 / 3715R1V;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS;MINAS GERAIS;3;4.190,20;4.190,20;12.570,60;12.570,60
0510037 000125/2020;NA;26/03/2020;MANUTENÇÃO CORRETIVA EM VENTILADORES PULMONARES DA MARCA DIXTAL.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.873.047/0001-95;VITAE TECNOLOGIA EM MEDICINA LTDA - EPP;NA;NA;1145908;"PLACA PARA EQUIPAMENTOS MED/HOSP. - IDENTIFICACAO: PLACA TECLADO COM ENCODER ; EQUIPAMENTO: VENTILADOR PULMONAR; MARCA/MODELO: DIXTAL/DX-3012; REFERENCIA: 3717R1V;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS;MINAS GERAIS;1;2.517,40;2.517,40;2.517,40;2.517,40
0510037 000125/2020;NA;26/03/2020;MANUTENÇÃO CORRETIVA EM VENTILADORES PULMONARES DA MARCA DIXTAL.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.873.047/0001-95;VITAE TECNOLOGIA EM MEDICINA LTDA - EPP;NA;NA;1176641;"PLACA PARA EQUIPAMENTOS MED/HOSP. - IDENTIFICACAO: PLACA CPU C/ADAPT. LCD-LED; EQUIPAMENTO: VENTILADOR; MARCA/MODELO: DISTAL/DX-3012; REFERENCIA: DR-2003C-0 / 4203R1V;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS;MINAS GERAIS;3;10.651,80;10.651,80;31.955,40;31.955,40
0510037 000125/2020;NA;26/03/2020;MANUTENÇÃO CORRETIVA EM VENTILADORES PULMONARES DA MARCA DIXTAL.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.873.047/0001-95;VITAE TECNOLOGIA EM MEDICINA LTDA - EPP;NA;NA;1207334;"MICRO VENTILADOR PARA EQUIPAMENTOS MED./HOSP - EQUIPAMENTO: VENTILADOR 6X6CM 12V; MARCA/MODELO: DIXTAL/DX-3010-3012; REFERENCIA: DR-0000H-0 / 2330R1V;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS;MINAS GERAIS;15;50,84;50,84;762,6;762,6
0510037 000125/2020;NA;26/03/2020;MANUTENÇÃO CORRETIVA EM VENTILADORES PULMONARES DA MARCA DIXTAL.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.873.047/0001-95;VITAE TECNOLOGIA EM MEDICINA LTDA - EPP;NA;NA;1266446;"JUNTA PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: JUNTA DE FECHAMENTO; EQUIPAMENTO: VENTILADOR; MARCA/MODELO: DIXTAL/DX-3010-3012; REFERENCIA: DR-0000G-0 / 2391R1V;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS;MINAS GERAIS;15;42,64;42,64;639,6;639,6
0510037 000125/2020;NA;26/03/2020;MANUTENÇÃO CORRETIVA EM VENTILADORES PULMONARES DA MARCA DIXTAL.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.873.047/0001-95;VITAE TECNOLOGIA EM MEDICINA LTDA - EPP;NA;NA;1337009;"CONJUNTO PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: CONJUNTO (SUBCONJUNTO) CONTROLE DE GASES(KIT PNEUMATOGRAFO); EQUIPAMENTO: VENTILADOR PULMONAR; MARCA/MODELO: DIXTAL/DX-3010; REFERENCIA: DR-0005Q-0;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS;MINAS GERAIS;2;1.615,40;1.615,40;3.230,80;3.230,80
0510037 000125/2020;NA;26/03/2020;MANUTENÇÃO CORRETIVA EM VENTILADORES PULMONARES DA MARCA DIXTAL.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.873.047/0001-95;VITAE TECNOLOGIA EM MEDICINA LTDA - EPP;NA;NA;1344072;"VALVULA PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: VALVULA KIT VALVULA REG. O2 + VALVULA PROPORCIONAL - GRAPH; EQUIPAMENTO: VENTILADOR PULMONAR; MARCA/MODELO: DIXTAL/DX-3010/3012; REFERENCIA: 3713R1V /  DR-0005U-0;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS;MINAS GERAIS;1;4.370,60;4.370,60;4.370,60;4.370,60
0510037 000125/2020;NA;26/03/2020;MANUTENÇÃO CORRETIVA EM VENTILADORES PULMONARES DA MARCA DIXTAL.;NA;2270;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Concluído;Dispensa de Licitação;0;;;;;;;;02.873.047/0001-95;VITAE TECNOLOGIA EM MEDICINA LTDA - EPP;NA;NA;1559222;"PLACA PARA EQUIPAMENTOS MED/HOSP. - IDENTIFICACAO: PLACA FONTE PRINCIPAL - GRAPH; EQUIPAMENTO: VENTILADOR PULMONAR; MARCA/MODELO: DIXTAL/DX3010; REFERENCIA: 3711R1V;";2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS;MINAS GERAIS;1;1.656,40;1.656,40;1.656,40;1.656,40
